Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
1,SG0001,신세계백화점,"파스쿠아, 프리잔떼 돌체 스윗 로제","강남점, 경기점",35000,화이트,이탈리아,비노비앙코,피노네로,샤도네이,2,4,1,"G01, G02"
2,EM0001,이마트몰,도스 코파스 레드,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",4900,레드,스페인,레드블렌딩,0,0,2,1,,"A01, C01, D01, E04, G01"
3,EM0002,이마트몰,프레스코발디 카스틸리오니 끼안티,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 여주점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",32000,레드,이탈리아,레드블렌딩,,,3,1,0,"E04, A01, E02"
4,EM0003,이마트몰,발레벨보 모스카토 다스띠,"가든5점, 가양점, 경산점, 고잔점, 과천점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 성서점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 양재점, 양주점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 자양점, 진접점, 진주점, 천안서북점, 천안점, 청주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",14800,화이트,이탈리아,모스카토,,,5,5,1,"C01, D01, F01, G02, A01"
5,EM0004,이마트몰,트라피체 오크캐스크 말벡,"가든5점, 가양점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보령점, 봉선점, 상주점, 서귀포점, 서산점, 서수원점, 성수점, 세종점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월배점, 의왕점, 의정부점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 청주점, 춘천점, 충주점, 통영점, 펜타포트점, 포천점, 포항이동점, 포항점, 하남점, 해운대점",16800,레드,아르헨티나,말벡,0,0,1,1,,"B01, A01"
6,EM0005,이마트몰,도스 코파스 샤도네이,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",4900,화이트,칠레,샤도네이,0,0,4,1,,"B01, C01, F01, A01, B03, E01"
7,SG0002,신세계백화점,뿌삐유,"강남점, 경기점, 센텀시티점, 마산점, 대구점, 본점, 광주점, 타임스퀘어점",50000,레드,프랑스,메를로,0,0,3,1,,"C01, A01, E02"
8,SG0003,신세계백화점,빌라 안나베르타 아마로네,"대구점, 경기점",59000,레드,이탈리아,코르비나,론디넬라,몰리나라,2,1,,"E04, F01, A01, E02"
9,EM0006,이마트몰,도스코파스 까베르네 소비뇽,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",4900,레드,칠레,까베르네쇼비뇽,0,0,3,1,,"B01, E01, A01"
10,EM0007,이마트몰,프레스코발디 레몰레 로쏘,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",24000,레드,이탈리아,레드블렌딩,,,3,1,0,"E04, A01, D01, E02"
